ID,:LABEL,accession,name,synonyms,description,taxid
Q68CK6,Protein,ACS2B_HUMAN,ACSM2B,"ACS2B_HUMAN,ACSM2B,9606.ENSP00000327453,ENSG00000066813",,9606
Q70Z44-3,Protein,5HT3D_HUMAN,HTR3D,"5HT3D_HUMAN,HTR3D,9606.ENSP00000371929,CHEMBL2094132,ENSG00000186090",,9606
Q15758-2,Protein,AAAT_HUMAN,SLC1A5,"AAAT_HUMAN,SLC1A5,5LLM,5LLU,5LM4,5MJU,6GCT,6MP6,6MPB,6RVX,6RVY,9606.ENSP00000444408,CHEMBL3562162,ENSG00000105281",,9606
Q9NPC4,Protein,A4GAT_HUMAN,A4GALT,"A4GAT_HUMAN,A4GALT,9606.ENSP00000384794,ENSG00000128274",,9606
Q9UKF5-3,Protein,ADA29_HUMAN,ADAM29,"ADA29_HUMAN,ADAM29,9606.ENSP00000484862,ENSG00000168594",,9606
Q9P0K1,Protein,ADA22_HUMAN,ADAM22,"ADA22_HUMAN,ADAM22,3G5C,5Y2Z,5Y31,9606.ENSP00000265727,ENSG00000008277",,9606
Q86UQ4-6,Protein,ABCAD_HUMAN,ABCA13,"ABCAD_HUMAN,ABCA13,9606.ENSP00000411096,ENSG00000179869",,9606
Q8NFV4-1,Protein,ABHDB_HUMAN,ABHD11,"ABHDB_HUMAN,ABHD11,9606.ENSP00000222800,CHEMBL2189134,ENSG00000106077",,9606
Q9UKV3-2,Protein,ACINU_HUMAN,ACIN1,"ACINU_HUMAN,ACIN1,6G6S,9606.ENSP00000262710,ENSG00000100813",,9606
Q6P461-3,Protein,ACSM6_HUMAN,ACSM6,"ACSM6_HUMAN,ACSM6,9606.ENSP00000340296,ENSG00000173124",,9606
P07311,Protein,ACYP1_HUMAN,ACYP1,"ACYP1_HUMAN,ACYP1,2K7J,2K7K,2VH7,2W4C,2W4P,3TOQ,6CBU,9606.ENSP00000238618,ENSG00000119640",,9606
Q13085-3,Protein,ACACA_HUMAN,ACACA,"ACACA_HUMAN,ACACA,2YL2,3COJ,4ASI,6G2D,6G2H,6G2I,9606.ENSP00000483300,CHEMBL3351,ENSG00000275176,ENSG00000278540",,9606
Q5QJU3-3,Protein,ACER2_HUMAN,ACER2,"ACER2_HUMAN,ACER2,9606.ENSP00000342609,CHEMBL2331067,ENSG00000177076",,9606
Q00005-7,Protein,2ABB_HUMAN,PPP2R2B,"2ABB_HUMAN,PPP2R2B,9606.ENSP00000377936,ENSG00000156475",,9606
O95870-2,Protein,ABHGA_HUMAN,ABHD16A,"ABHGA_HUMAN,ABHD16A,9606.ENSP00000379282,CHEMBL6168,ENSG00000204427,ENSG00000206403,ENSG00000230475,ENSG00000236063,ENSG00000235676,ENSG00000231488,ENSG00000224552",,9606
Q9UKF5-1,Protein,ADA29_HUMAN,ADAM29,"ADA29_HUMAN,ADAM29,9606.ENSP00000484862,ENSG00000168594",,9606
P02763,Protein,A1AG1_HUMAN,ORM1,"A1AG1_HUMAN,ORM1,3KQ0,9606.ENSP00000259396,CHEMBL4285,ENSG00000229314",,9606
O94929-4,Protein,ABLM3_HUMAN,ABLIM3,"ABLM3_HUMAN,ABLIM3,1UJS,2DJ7,9606.ENSP00000425394,ENSG00000173210",,9606
A5X5Y0-2,Protein,5HT3E_HUMAN,HTR3E,"5HT3E_HUMAN,HTR3E,9606.ENSP00000406050,CHEMBL4296087,ENSG00000186038",,9606
Q96GR2,Protein,ACBG1_HUMAN,ACSBG1,"ACBG1_HUMAN,ACSBG1,9606.ENSP00000258873,ENSG00000103740",,9606
P21589,Protein,5NTD_HUMAN,NT5E,"5NTD_HUMAN,NT5E,4H1S,4H1Y,4H2B,4H2F,4H2G,4H2I,6HXW,6S7F,6S7H,6TVE,6TVG,6TVX,6TW0,6TWA,6TWF,6XUE,6XUG,6XUQ,6Z9B,9606.ENSP00000257770,CHEMBL5957,ENSG00000135318",,9606
Q96P50-4,Protein,ACAP3_HUMAN,ACAP3,"ACAP3_HUMAN,ACAP3,9606.ENSP00000346733,ENSG00000131584",,9606
Q9H7C9-1,Protein,AAMDC_HUMAN,AAMDC,"AAMDC_HUMAN,AAMDC,2AB1,2Q4Q,9606.ENSP00000431808,ENSG00000087884",,9606
